Local time,Open,High,Low,Close,Volume
31.05.2024 17:00:00.000 GMT+0300,2348.055,2348.945,2334.018,2335.095,6677090.168
31.05.2024 18:00:00.000 GMT+0300,2335.135,2336.045,2327.625,2329.978,6290579.7958
31.05.2024 19:00:00.000 GMT+0300,2329.925,2336.618,2329.625,2332.765,2853440.0463
31.05.2024 20:00:00.000 GMT+0300,2332.725,2333.688,2323.835,2325.848,4346849.9184
31.05.2024 21:00:00.000 GMT+0300,2325.855,2327.125,2322.275,2322.818,3103080.0343
31.05.2024 22:00:00.000 GMT+0300,2322.785,2328.155,2320.395,2327.588,2071779.9664
31.05.2024 23:00:00.000 GMT+0300,2327.525,2330.495,2326.915,2326.995,990920.0072
03.06.2024 01:00:00.000 GMT+0300,2327.425,2329.315,2323.205,2326.275,480569.9885
03.06.2024 02:00:00.000 GMT+0300,2326.325,2326.658,2323.915,2325.748,589269.9957
03.06.2024 03:00:00.000 GMT+0300,2325.795,2327.395,2323.898,2327.005,865980.0291
03.06.2024 04:00:00.000 GMT+0300,2326.985,2331.005,2326.048,2330.645,2280550.0031
03.06.2024 05:00:00.000 GMT+0300,2330.665,2330.855,2325.438,2326.228,2173830.0323
03.06.2024 06:00:00.000 GMT+0300,2326.205,2328.015,2320.785,2321.285,1547510.0279
03.06.2024 07:00:00.000 GMT+0300,2321.335,2322.395,2319.895,2321.205,805379.9868
03.06.2024 08:00:00.000 GMT+0300,2321.225,2323.605,2315.215,2320.085,2141380.0716
03.06.2024 09:00:00.000 GMT+0300,2320.045,2322.705,2314.635,2322.285,3526380.0621
03.06.2024 10:00:00.000 GMT+0300,2322.285,2328.755,2322.095,2325.845,2352720.0222
03.06.2024 11:00:00.000 GMT+0300,2325.845,2328.415,2324.658,2325.375,2349550.0088
03.06.2024 12:00:00.000 GMT+0300,2325.375,2328.585,2324.308,2327.698,3225879.9076
03.06.2024 13:00:00.000 GMT+0300,2327.615,2333.128,2326.055,2330.678,3362570.0474
03.06.2024 14:00:00.000 GMT+0300,2330.614,2332.268,2328.825,2329.868,3925199.9855
03.06.2024 15:00:00.000 GMT+0300,2329.868,2334.288,2325.535,2333.888,4694049.8352
03.06.2024 16:00:00.000 GMT+0300,2333.805,2336.605,2329.685,2333.198,5410580.1582
03.06.2024 17:00:00.000 GMT+0300,2333.138,2345.575,2333.138,2341.618,6486959.9342
03.06.2024 18:00:00.000 GMT+0300,2341.534,2344.085,2335.358,2342.675,4797049.9992
03.06.2024 19:00:00.000 GMT+0300,2342.675,2350.105,2341.235,2349.055,4354450.2258
03.06.2024 20:00:00.000 GMT+0300,2349.065,2354.565,2345.958,2348.275,2951139.9269
03.06.2024 21:00:00.000 GMT+0300,2348.298,2349.335,2346.428,2348.138,2336380.0049
03.06.2024 22:00:00.000 GMT+0300,2348.188,2348.978,2344.605,2347.588,2320689.9166
03.06.2024 23:00:00.000 GMT+0300,2347.555,2351.018,2346.865,2350.405,633289.9928
04.06.2024 00:00:00.000 GMT+0300,2350.405,2350.405,2350.405,2350.405,0
04.06.2024 01:00:00.000 GMT+0300,2350.495,2352.005,2349.965,2350.645,358319.9978
04.06.2024 02:00:00.000 GMT+0300,2350.625,2350.955,2349.655,2350.488,571420.0139
04.06.2024 03:00:00.000 GMT+0300,2350.485,2352.645,2349.995,2350.508,1402050.0183
04.06.2024 04:00:00.000 GMT+0300,2350.475,2352.195,2343.068,2346.955,3580389.9765
04.06.2024 05:00:00.000 GMT+0300,2347.005,2349.495,2345.558,2346.778,1147809.9823
04.06.2024 06:00:00.000 GMT+0300,2346.725,2346.818,2343.965,2345.578,1216070.056
04.06.2024 07:00:00.000 GMT+0300,2345.578,2349.768,2344.958,2349.188,776830.0176
04.06.2024 08:00:00.000 GMT+0300,2349.155,2349.475,2347.125,2347.605,1093989.9683
04.06.2024 09:00:00.000 GMT+0300,2347.615,2351.675,2344.168,2344.365,1827139.9736
04.06.2024 10:00:00.000 GMT+0300,2344.385,2345.015,2339.008,2339.585,2134030.1037
04.06.2024 11:00:00.000 GMT+0300,2339.605,2339.625,2332.185,2333.225,2367830.0381
04.06.2024 12:00:00.000 GMT+0300,2333.235,2334.155,2326.615,2329.708,4463389.8735
04.06.2024 13:00:00.000 GMT+0300,2329.775,2334.705,2329.000,2329.088,3774295.0916
04.06.2024 14:00:00.000 GMT+0300,2329.058,2329.635,2325.400,2327.865,3111449.9569
04.06.2024 15:00:00.000 GMT+0300,2327.865,2335.845,2326.565,2334.968,4343269.825
04.06.2024 16:00:00.000 GMT+0300,2334.965,2337.925,2322.028,2324.175,5540619.8502
04.06.2024 17:00:00.000 GMT+0300,2324.015,2332.335,2315.508,2317.505,7711800.0984
04.06.2024 18:00:00.000 GMT+0300,2317.575,2328.605,2317.335,2325.968,5493279.9339
04.06.2024 19:00:00.000 GMT+0300,2325.955,2329.468,2322.395,2323.768,3488399.9825
04.06.2024 20:00:00.000 GMT+0300,2323.805,2330.198,2323.615,2328.635,4764850.1396
04.06.2024 21:00:00.000 GMT+0300,2328.635,2329.625,2325.945,2328.168,2966749.9065
04.06.2024 22:00:00.000 GMT+0300,2328.145,2328.288,2325.885,2327.128,2235660.0761
04.06.2024 23:00:00.000 GMT+0300,2327.115,2327.608,2325.925,2326.675,626489.9969
05.06.2024 00:00:00.000 GMT+0300,2326.675,2326.675,2326.675,2326.675,0
05.06.2024 01:00:00.000 GMT+0300,2325.918,2328.228,2325.918,2327.605,351209.9981
05.06.2024 02:00:00.000 GMT+0300,2327.605,2328.788,2327.415,2328.668,613619.9832
05.06.2024 03:00:00.000 GMT+0300,2328.678,2329.538,2327.585,2328.055,1344650.0301
05.06.2024 04:00:00.000 GMT+0300,2328.078,2330.778,2325.785,2330.305,1907349.9441
05.06.2024 05:00:00.000 GMT+0300,2330.324,2333.368,2329.765,2333.254,1889080.0476
05.06.2024 06:00:00.000 GMT+0300,2333.234,2337.748,2332.888,2337.048,1302989.9597
05.06.2024 07:00:00.000 GMT+0300,2337.048,2338.125,2335.735,2337.895,814649.9991
05.06.2024 08:00:00.000 GMT+0300,2337.895,2341.535,2337.205,2337.205,1999500.0362
05.06.2024 09:00:00.000 GMT+0300,2337.228,2338.375,2327.945,2332.595,2846489.9063
05.06.2024 10:00:00.000 GMT+0300,2332.595,2333.615,2329.015,2331.485,2427129.9839
05.06.2024 11:00:00.000 GMT+0300,2331.465,2334.995,2331.245,2332.545,1896520.0186
05.06.2024 12:00:00.000 GMT+0300,2332.555,2333.785,2330.885,2332.195,1913149.9529
05.06.2024 13:00:00.000 GMT+0300,2332.178,2335.434,2329.348,2333.625,2450870.0371
05.06.2024 14:00:00.000 GMT+0300,2333.615,2335.405,2330.975,2332.435,1520349.9794
05.06.2024 15:00:00.000 GMT+0300,2332.435,2343.975,2332.078,2342.035,5454030.0369
05.06.2024 16:00:00.000 GMT+0300,2342.018,2345.828,2338.065,2345.208,4252230.1674
05.06.2024 17:00:00.000 GMT+0300,2344.905,2350.175,2333.945,2348.898,5861559.8679
05.06.2024 18:00:00.000 GMT+0300,2348.928,2357.278,2348.885,2353.575,5650869.8463
05.06.2024 19:00:00.000 GMT+0300,2353.615,2354.878,2351.238,2352.468,2648289.9189
05.06.2024 20:00:00.000 GMT+0300,2352.468,2355.638,2351.555,2355.008,2975080.0133
05.06.2024 21:00:00.000 GMT+0300,2354.975,2356.628,2353.385,2355.698,2019419.9085
05.06.2024 22:00:00.000 GMT+0300,2355.674,2356.028,2352.565,2353.928,1765630.0068
05.06.2024 23:00:00.000 GMT+0300,2353.958,2355.305,2352.778,2354.975,742929.9951
06.06.2024 00:00:00.000 GMT+0300,2354.975,2354.975,2354.975,2354.975,0
06.06.2024 01:00:00.000 GMT+0300,2355.098,2357.785,2354.948,2356.795,417930.007
06.06.2024 02:00:00.000 GMT+0300,2356.795,2357.365,2354.675,2354.935,541679.9784
06.06.2024 03:00:00.000 GMT+0300,2354.935,2355.885,2354.408,2355.635,814289.9871
06.06.2024 04:00:00.000 GMT+0300,2355.585,2373.028,2355.468,2367.324,3581259.9659
06.06.2024 05:00:00.000 GMT+0300,2367.265,2374.568,2364.985,2374.228,2445580.0056
06.06.2024 06:00:00.000 GMT+0300,2374.415,2374.805,2367.505,2368.328,1640679.9555
06.06.2024 07:00:00.000 GMT+0300,2368.328,2370.418,2366.788,2369.288,1159060.0014
06.06.2024 08:00:00.000 GMT+0300,2369.285,2371.268,2366.225,2367.685,1542400.0025
06.06.2024 09:00:00.000 GMT+0300,2367.685,2367.878,2362.988,2366.948,2550879.9553
06.06.2024 10:00:00.000 GMT+0300,2366.915,2368.208,2362.045,2362.785,1978719.9497
06.06.2024 11:00:00.000 GMT+0300,2362.755,2363.085,2359.675,2362.778,1584059.9537
06.06.2024 12:00:00.000 GMT+0300,2362.745,2363.778,2358.395,2361.435,1863440.0368
06.06.2024 13:00:00.000 GMT+0300,2361.435,2361.848,2359.355,2360.948,1764269.948
06.06.2024 14:00:00.000 GMT+0300,2360.955,2361.865,2359.048,2359.705,2246119.976
06.06.2024 15:00:00.000 GMT+0300,2359.665,2364.985,2355.115,2357.405,5117010.1166
06.06.2024 16:00:00.000 GMT+0300,2357.425,2366.898,2353.305,2360.395,5396110.0578
